"white = object name
yellow = flags
green = common information
blue = literature accretion information
gray = EWs and line fluxes","last major updates: 
Sarah Betti 3June21: new format in place.  all literature values updated/checked.  no re-estimated values have been added yet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simbad-Resolvable Name,Reference Name,Companion,Separation,Upper Limit,Object,RA,Dec,Star Forming Region,Disk Type,System Age ,System Age err,Gaia DR release,GAIA Distance,RA proper motion ,RA proper motion err,Dec proper motion,Dec proper motion err,radial velocity,radial velocity err,A_V,A_V err,A_J,A_J err,A_V reference,Rmag ,Rmag err,Jmag,Jmag err,Hmag,Hmag err,Kmag,Kmag err,Ha mag,Ha mag err,Reference,Telescope/Instrument,Epoch,log g,Distance,Distance err,Sp Type,Sp Type err,Temp,Temp err,Mass,Mass err,Luminosity,Luminosity Err,Radius,Radius err,Tracer,Accretion Diagnostic,Ha EW,Ha EW err,Ha Line Flux,Ha Line Flux err,Hb EW,Hb EW err,Hb Line Flux,Hb Line Flux err,Hgamma EW,Hgamma EW err,Hgamma Line Flux,Hgamma Line Flux err,Hdelta EW,Hdelta EW err,Hdelta Line Flux,Hdelta Line Flux err,Hepsilon EW,Hepisolon EW err,Hepsilon Line Flux,Hepsilon Line Flux err,H 11 337.1 EW,H 11 337.1 EW err,H 11 337.1 Line Flux,H 11 337.1 Line Flux err,PaB EW,PaB EW err,PaB Line Flux,PaB Line Flux err,PaG EW,Pa G EW err,PaG Line Flux,PaG Line Flux err,Pa delta EW,Pa delta EW err,Pa delta Line Flux,Pa delta Line Flux err,BrG EW,BrG EW err,BrG Line Flux,BrG Line Flux err,PfB EW,PfB EW err,PfB Line Flux,PfB Line Flux err,HeI 587.6 EW,HeI 587.6 EW err,He I 587.6 Line Flux,He I 587.6 Line Flux err,HeI 667.8 EW,HeI 667.8 EW err,HeI 667.8 Line Flux,HeI 667.8 Line Flux err,HeI 706.5 EW,HeI 706.5EW err,HeI 706.5 Line Flux,HeI 706.5 Line Flux err,CaII K 393.4 EW,CaII K 393.4 EW err,CaII K 393.4 Line Flux,CaII K 393.4 Line Flux err,CaII H 396.9 EW,CaII H 396.9 Line Flux,CaII H 396.9 Line Flux err,CaII 866.2 EW,CaII 866.2 EW err,CaII 866.2 Line Flux,CaII 866.2 Line FLux,Li 6708 EW,OI 844.6 EW,OI 844.6 EW err,OI 844.6 Line Flux,OI 844.6 Line Flux err,Log Accretion Luminosity,Log Accretion Luminosity err,Accretion Rate,Accretion Rate err,Scaling Relation,Evolutionary Models,Notes
UNITS or flag,,COM ,arcseconds,UPP,S/BD/P,deg,deg,,,Myr,Myr,,pc,mas /yr,mas/yr,mas/yr,mas/yr,km/s,km/s,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,mag,,,,,pc,pc,,,K,K,Msun,Msun,Lsun,Lsun,Rsun,Rsun,,,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,erg/s*cm^2,A,erg/s*cm^2,erg/s*cm^2,A,A,erg/s*cm^2,log(erg s^-1 cm^-2),A,A,A,erg/s*cm^2,erg/s*cm^2,Lsun,Lsun,Msun/yr,Msun/yr,,,
2MASS J16264848-2428389,ISO-Oph 070,COM,4.15,UPP,P,246.925,-24.7792,p Oph,III,1,,,,,,,,,,3.5,,1,,Natta 2006,,,18.47,0.09,13.933,0.043,11.216,0.027,,,Natta 2006,NNT/SofI,2004,,,,,,"2,290.87",,0.0059,,0.0008511380382,,,,Line Strength,BrG line luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.06,,7.59E-10,,"Natta 2004, Calvet 2004",D'Antona 1998,
ISO-Oph 157,ISO-Oph 157,,,UPP,S,246.898593,-24.75903471,p Oph,II,1,,2,143.2705808,-7.973,0.478,-26.738,0.276,,,,,1.4,,Natta 2006,,,12.713,0.026,11.466,0.026,10.881,0.027,,,Natta 2006,NNT/SofI,2004,,,,,,"2,884.03",,0.1096,,0.1122018454,,1.35,,Line Strength,BrG line luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.08,,2.88E-09,,"Natta 2004, Calvet 2004",D'Antona 1998,
ISO-Oph 179,ISO-Oph 179,,,UPP,S,246.9582039,-24.73804605,p Oph,II,1,,2,127.3268991,-8.094,2.867,-28.156,2.002,,,,,2.8,,Natta 2006,,,13.849,0.032,11.97,0.023,10.936,0.025,,,Natta 2006,NNT/SofI,2004,,,,,,"2,884.03",,0.1288,,0.1445439771,,1.53,,Line Strength,BrG line luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.94,,3.80E-09,,"Natta 2004, Calvet 2004",D'Antona 1998,
ISO-Oph 139,ISO-Oph 139,,,UPP,S,246.859523,-24.712814,p Oph,II,1,,,,-6.4,0.6,-28.7,0.6,,,,,8.2,,Natta 2006,,,,,15.182,0.079,12.659,0.027,,,Natta 2006,NNT/SofI,2004,,,,,,"2,884.03",,0.1514,,0.1862087137,,1.73,,Line Strength,BrG line luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77,,5.37E-08,,"Natta 2004, Calvet 2004",D'Antona 1998,
ISO-Oph 075,ISO-Oph 075,,,UPP,S,246.716546,-24.510971,p Oph,II,1,,,,,,,,,,,,10.4,,Natta 2006,,,21.3,0.14,16.52,0.22,13.458,0.043,,,Natta 2006,NNT/SofI,2004,,,,,,"2,951.21",,0.1585,,0.2041737945,,1.73,,Line Strength,BrG line luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,1.20E-07,,"Natta 2004, Calvet 2004",D'Antona 1998,
ISO-Oph 047,ISO-Oph 047,,,UPP,S,246.62932,-24.518118,p Oph,II,1,,,,,,,,,,,,4.6,,Natta 2006,,,14.958,0.043,12.318,0.026,10.859,0.024,,,Natta 2006,NNT/SofI,2004,,,,,,"3,162.28",,0.2089,,0.3235936569,,1.9,,Line Strength,BrG line luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.34,,1.17E-08,,"Natta 2004, Calvet 2004",D'Antona 1998,
ISO-Oph 059,ISO-Oph 059,,,UPP,S,246.675597,-24.517485,p Oph,II,1,,,,,,,,,,,,4.6,,Natta 2006,,,17.029,0.183,13.525,0.032,11.525,0.024,,,Natta 2006,NNT/SofI,2004,,,,,,"3,162.28",,0.2089,,0.3235936569,,6.15,,Line Strength,BrG line luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.54,,7.41E-09,,"Natta 2004, Calvet 2004",D'Antona 1998,
ISO-Oph 076,ISO-Oph 076,,,UPP,S,246.722789,-24.543402,p Oph,II,1,,,,,,,,,,,,10.7,,Natta 2006,,,21.83,0.22,,,13.119,0.03,,,Natta 2006,NNT/SofI,2004,,,,,,"3,162.28",,0.2138,,0.3311311215,,1.92,,Line Strength,BrG line luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32,,1.20E-07,,"Natta 2004, Calvet 2004",D'Antona 1998,
ISO-Oph 161,ISO-Oph 161,,,UPP,S,246.905206,-24.71056,p Oph,II,1,,,,,,,,,,,,10.5,,Natta 2006,,,,,14.524,0.05,11.457,0.033,,,Natta 2006,NNT/SofI,2004,,,,,,"3,981.07",,0.6026,,1.862087137,,2.88,,Line Strength,BrG line luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,6.76E-08,,"Natta 2004, Calvet 2004",D'Antona 1998,
ISO-Oph 108,ISO-Oph 108,,,,S,246.789293,-24.621881,p Oph,II,1,,,,,,,,,,,,10.5,,Natta 2006,,,16.788,0.178,11.049,0.044,7.14,0.021,,,Natta 2006,NNT/SofI,2004,,,,,,"5,754.40",,3.0200,,27.54228703,,,,Line Strength,BrG line luminosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,1.45E-06,,"Natta 2004, Calvet 2004",D'Antona 1998,
NAME SR 12C,SR12 c,COM,8.7,,BD,246.8333,-24.5831,SR12,U,2,,,,-5.9,0.5,-24.4,0.4,,,1.77,0.71,,,"Kuzuhara+2011, converted from A_J",,,16.069,0.01,15.321,0.09,14.57,0.009,,,Santamaria-Miranda 2018/2019,VLT/X-shooter,2016,4,125.0,25,L0,1,"2,600.00",100,0.0130,0.007,,,0.19,,Line Strength,Ca II line flux,-57.39,17.71,1.34E-15,5.00E-17,-46.9,4.21,2.19E-16,3.00E-18,-23.06,2.28,6.57E-16,4.00E-18,,,,,,,,,-9.37,0.44,8.93E-17,1.20E-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.97,0.5,1.61E-16,1.29E-16,,,4.57E-12,,Comeron 2003,,Corrections published in 2019 Erratum paper
2MASS J04272799+2612052,KPNO Tau 4,,,,BD,66.8667,26.2014,Taurus,III,1.5,,2,134.692833,1.805,2.433,-23.448,2.328,,,2.16,0.85,,,Zhang 2018,20.54,,15,0.04,14.03,0.04,13.28,0.03,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M9.5,0.5,"2,300.00",200,0.0150,,,,,,Line Strength,Ca II line flux,-68.4,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30,0.10,1.20E+04,4.08,,,,,,,,6.31E-12,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3
2MASS J04272799+2612052,KPNO Tau 4,,,,BD,66.8667,26.2014,Taurus,III,1.5,,2,134.692833,1.805,2.433,-23.448,2.328,,,2.16,0.85,,,Zhang 2018,20.54,,15,0.04,14.03,0.04,13.28,0.03,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M9.5,0.5,"2,300.00",200,0.0150,,,,,,Line Strength,Ca II line flux,-68.4,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30,0.10,1.20E+04,4.08,,,,,,,,7.94E-12,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1
2MASS J04190126+2802487,KPNO Tau 12,,,,BD,64.7542,28.0467,Taurus,II,1.5,,,,7.09,5.6,-28.41,5.27,,,0.02,0.85,,,Zhang 2018,,,16.3,0.09,15.48,0.1,14.93,0.09,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M9.0,0.5,"2,400.00",200,0.0200,,,,,,Line Strength,Ca II line flux,-207,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,0.11,,,,,,,,,,,,,,-0.60,0.10,4.17E+04,4.62,,,,,,,,2.00E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3
2MASS J04190126+2802487,KPNO Tau 12,,,,BD,64.7542,28.0467,Taurus,II,1.5,,,,7.09,5.6,-28.41,5.27,,,0.02,0.85,,,Zhang 2018,,,16.3,0.09,15.48,0.1,14.93,0.09,,,Mohanty 2005,Keck I/HIRES,2002/2003,4,,,M9.0,0.5,"2,400.00",200,0.0200,,,,,,Line Strength,Ca II line flux,-207,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,0.11,,,,,,,,,,,,,,-0.60,0.10,4.17E+04,4.62,,,,,,,,3.16E-11,,Mohanty 2005,"Allard 2001, Baraffe 1998",disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1
